Time,SAL,LY
-2,-0.715388527,-0.226760076
-1.9,-0.858739366,-0.355621351
-1.8,-0.944030311,-0.417450561
-1.7,-1.042574518,-0.467137815
-1.6,-1.105088023,-0.459285575
-1.5,-1.070580761,-0.391931634
-1.4,-0.988800502,-0.341860479
-1.3,-0.879852796,-0.27124803
-1.2,-0.754333732,-0.22044267
-1.1,-0.651159784,-0.209393179
-1,-0.659462562,-0.204521208
-0.9,-0.782848027,-0.200031184
-0.8,-0.926916167,-0.193220048
-0.7,-0.9512303,-0.194880767
-0.6,-0.919281107,-0.261427951
-0.5,-0.861393989,-0.34880562
-0.4,-0.735254633,-0.435926882
-0.3,-0.607645835,-0.527293287
-0.2,-0.634014127,-0.565052191
-0.1,-0.541274574,-0.50314958
0,-0.240594367,-0.340219312
0.1,0.249420028,0.037180921
0.2,0.864899592,0.560360183
0.3,1.680508207,1.1379734
0.4,2.402595589,1.797365956
0.5,3.006571001,2.448102266
0.6,3.51399876,2.932936443
0.7,3.908058607,3.261300866
0.8,4.107473885,3.419747735
0.9,4.226781663,3.383295853
1,4.222713456,3.194812177
1.1,4.088690264,2.933197232
1.2,3.909795121,2.6231393
1.3,3.722185704,2.336180721
1.4,3.480235701,2.093842124
1.5,3.26051731,1.879189876
1.6,3.048796416,1.679763263
1.7,2.840372079,1.505613877
1.8,2.644384836,1.359776173
1.9,2.489628125,1.236068932
2,2.318715526,1.144600513
2.1,2.165477583,1.046552454
2.2,2.021855314,0.97442849
2.3,1.903087089,0.941347291
2.4,1.784200098,0.914155194
2.5,1.664572135,0.885898935
2.6,1.540627102,0.858300442
2.7,1.452470089,0.825857382
2.8,1.339730328,0.782014156
2.9,1.249547057,0.716361257
3,1.184912459,0.671137859
3.1,1.125440724,0.63876625
3.2,1.048239275,0.596750079
3.3,0.991607413,0.544623699
3.4,0.924935083,0.525150134
3.5,0.862690297,0.517985834
3.6,0.810367451,0.515764405
3.7,0.758862257,0.542642967
3.8,0.704709975,0.535430021
3.9,0.666863673,0.50487155
4,0.603481529,0.470026804
4.1,0.564607399,0.434288513
4.2,0.525533268,0.402298842
4.3,0.490922735,0.405854753
4.4,0.457381273,0.436142693
4.5,0.432692628,0.474708054
4.6,0.371575894,0.536720798
4.7,0.356412178,0.56118519
4.8,0.301988681,0.626831858
4.9,0.389255998,0.578365771
