Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day1,A,X,A,17____,Flash,77,35.89999999999994,18
Day1,A,X,A,17____,Steady,4,6.77999999999988,0
Day1,A,X,A,21____,Flash,1,0.200000000000045,0
Day1,A,X,A,21____,Steady,4,1.760000000000045,2
Day1,A,X,A,23____,Flash,87,29.5400000000003,19
Day1,A,X,A,23____,Steady,39,98.34000000000029,14
Day1,A,X,A,44____,Flash,16,4.440000000000143,5
Day1,A,X,A,44____,Steady,26,5.919999999999905,8
Day1,A,Y,A,19____,Flash,15,6.619999999999971,3
Day1,A,Y,A,19____,Steady,43,64.93999999999983,13
Day1,A,Y,A,42____,Flash,22,20.51999999999997,8
Day1,A,Y,A,42____,Steady,23,24.63999999999985,8
Day1,B,X,B,18____,Flash,2,0.579999999999984,2
Day1,B,X,B,18____,Steady,2,0.0999999999999659,0
Day1,B,X,B,22____,Flash,27,18.60000000000001,10
Day1,B,X,B,22____,Steady,4,1.360000000000136,0
Day1,B,Y,B,20____,Flash,1,0.759999999999991,1
Day1,B,Y,B,20____,Steady,20,15.940000000000481,8
Day1,B,Y,B,24____,Flash,38,30.78000000000037,16
Day1,B,Y,B,24____,Steady,11,4.900000000000206,4
Day1,B,Y,B,25____,Flash,25,25.21999999999977,7
Day1,B,Y,B,25____,Steady,23,14.01999999999976,8
Day1,B,Y,B,43____,Flash,118,28.42000000000015,27
Day1,B,Y,B,43____,Steady,59,45.35999999999943,12
Day2,A,X,A,17____,Flash,52,23.1199999999992,17
Day2,A,X,A,17____,Steady,7,17.09999999999999,0
Day2,A,X,A,21____,Flash,1,0.399999999999999,1
Day2,A,X,A,21____,Steady,2,3.080000000000173,1
Day2,A,X,A,23____,Flash,59,48.85999999999968,18
Day2,A,X,A,23____,Steady,36,114.94000000000005,13
Day2,A,X,A,44____,Flash,17,16.52000000000038,7
Day2,A,X,A,44____,Steady,18,3.179999999999969,6
Day2,A,Y,A,19____,Flash,41,35.13999999999971,12
Day2,A,Y,A,19____,Steady,48,71.05999999999985,18
Day2,A,Y,A,42____,Flash,13,30.52000000000011,7
Day2,A,Y,A,42____,Steady,5,4.67999999999995,2
Day2,B,X,B,18____,Flash,2,4.7600000000000495,0
Day2,B,X,B,18____,Steady,5,1.2199999999999138,2
Day2,B,X,B,22____,Flash,27,12.34000000000059,14
Day2,B,X,B,22____,Steady,10,8.81999999999994,6
Day2,B,Y,B,20____,Flash,0,0,0
Day2,B,Y,B,20____,Steady,7,8.76000000000004,4
Day2,B,Y,B,24____,Flash,76,41.29999999999966,24
Day2,B,Y,B,24____,Steady,12,6.459999999999413,3
Day2,B,Y,B,25____,Flash,17,11.92000000000013,6
Day2,B,Y,B,25____,Steady,18,17.239999999999917,6
Day2,B,Y,B,43____,Flash,36,21.09999999999985,8
Day2,B,Y,B,43____,Steady,10,10.58000000000006,5
Day3,A,X,A,17____,Flash,29,8.720000000000343,13
Day3,A,X,A,17____,Steady,4,191.5399999999999,0
Day3,A,X,A,21____,Flash,1,0.159999999999854,1
Day3,A,X,A,21____,Steady,3,2.839999999999918,1
Day3,A,X,A,23____,Flash,24,18.35999999999979,7
Day3,A,X,A,23____,Steady,27,258.86000000000007,12
Day3,A,X,A,44____,Flash,10,4.540000000000019,4
Day3,A,X,A,44____,Steady,20,2.159999999999841,5
Day3,A,Y,A,19____,Flash,23,3.5399999999995897,5
Day3,A,Y,A,19____,Steady,39,49.20000000000023,13
Day3,A,Y,A,42____,Flash,5,4.40000000000003,4
Day3,A,Y,A,42____,Steady,3,2.1600000000001542,2
Day3,B,X,B,18____,Flash,0,0,0
Day3,B,X,B,18____,Steady,0,0,0
Day3,B,X,B,22____,Flash,38,15.240000000000355,11
Day3,B,X,B,22____,Steady,16,12.460000000000267,6
Day3,B,Y,B,20____,Flash,2,0.900000000000091,2
Day3,B,Y,B,20____,Steady,17,16.21999999999958,8
Day3,B,Y,B,24____,Flash,50,40.45999999999956,17
Day3,B,Y,B,24____,Steady,24,12.879999999999995,7
Day3,B,Y,B,25____,Flash,8,2.280000000000026,4
Day3,B,Y,B,25____,Steady,2,0.5400000000001345,1
Day3,B,Y,B,43____,Flash,31,8.159999999999863,10
Day3,B,Y,B,43____,Steady,21,6.899999999999866,6
Day4,A,X,A,17____,Flash,49,19.27999999999993,14
Day4,A,X,A,17____,Steady,5,3.260000000000232,0
Day4,A,X,A,21____,Flash,1,0.239999999999895,0
Day4,A,X,A,21____,Steady,0,0,0
Day4,A,X,A,23____,Flash,10,6.859999999999965,6
Day4,A,X,A,23____,Steady,9,5.5199999999999605,2
Day4,A,X,A,44____,Flash,21,6.51999999999986,4
Day4,A,X,A,44____,Steady,10,0.600000000000016,3
Day4,A,Y,A,19____,Flash,45,36.48000000000099,11
Day4,A,Y,A,19____,Steady,14,30.0599999999998,7
Day4,A,Y,A,42____,Flash,4,4.959999999999757,2
Day4,A,Y,A,42____,Steady,0,0,0
Day4,B,X,B,18____,Flash,0,0,0
Day4,B,X,B,18____,Steady,12,19.21999999999986,5
Day4,B,X,B,22____,Flash,27,13.91999999999988,12
Day4,B,X,B,22____,Steady,14,6.119999999999892,6
Day4,B,Y,B,20____,Flash,1,0.600000000000023,0
Day4,B,Y,B,20____,Steady,50,73.20000000000128,21
Day4,B,Y,B,24____,Flash,25,20.52000000000027,12
Day4,B,Y,B,24____,Steady,10,5.83999999999952,2
Day4,B,Y,B,25____,Flash,12,11.700000000000077,5
Day4,B,Y,B,25____,Steady,9,4.6800000000001205,2
Day4,B,Y,B,43____,Flash,31,6.580000000000354,7
Day4,B,Y,B,43____,Steady,3,2.8800000000000567,0
